L,Teff,R,mass,logg,isWR,mass_current,phase,m_hst_f127m,m_hst_f139m,m_hst_f153m
2.686252425726588e+25,3290.4927889756814,567075660.5548795,0.24383393231956682,4.002607601160817,False,0.24383365977907745,-1.0,15.643998866311248,15.569400261348632,15.285372948453144
2.8511659339130863e+25,3305.690843101108,578863626.3089248,0.25330515768590617,4.001502127934723,False,0.25330487252428224,-1.0,15.586937526999908,15.50597829269965,15.220602437309516
3.0390338534989806e+25,3323.2000416456813,591349567.4799165,0.2646673570059377,4.002124186136079,False,0.26466705632406284,-1.0,15.526546652118228,15.438457922878484,15.15167151494491
3.231926172203924e+25,3341.964391336083,602998960.1291033,0.27709823036002157,4.005065089914935,False,0.27709791229136604,-1.0,15.469372367742903,15.373891749181787,15.085770552679284
3.427524494965744e+25,3360.930934364472,613989001.1596792,0.28915943007143674,4.007785598609425,False,0.28915909509670396,-1.0,15.41537081221719,15.312691607132754,15.02327878092929
3.916890468751268e+25,3408.5261581131435,638156114.5971099,0.314914786984179,4.011712092217652,False,0.31491441579220164,-1.0,15.295236227854735,15.175575227933496,14.883044220153455
3.880017724202781e+25,3409.689282229516,634712029.7551545,0.31559827194930623,4.01659461146463,False,0.31559789863643334,-1.0,15.306191490487903,15.186183192185304,14.893840635000815
3.874648563249991e+25,3411.354470412282,633653655.7475191,0.31650010791102756,4.018383387663227,False,0.31649973274617177,-1.0,15.308593339838925,15.188037361721664,14.895682928574708
3.925237686035998e+25,3414.0821488932415,636758176.103253,0.3178656008895063,4.015300953087801,False,0.31786522422810537,-1.0,15.295886322989185,15.174371847490935,14.88167090453308
4.01074657059888e+25,3418.04563697039,642164628.393618,0.3199181186836381,4.012520241401847,False,0.31991774008598595,-1.0,15.274519338216617,15.151634398155522,14.85852309420327
4.096518809210893e+25,3424.66392286525,646488855.9369158,0.3236748648685965,4.01497349371469,False,0.3236744812553811,-1.0,15.25505141658341,15.12998191940827,14.836579599419764
4.267087504932263e+25,3441.9035355314763,653217587.677538,0.33366613237440085,4.016300351573317,False,0.33366573372126146,-1.0,15.219841502464922,15.089140626151437,14.794730763856556
